,Country.Name,Country.Code,Indicator.Name,Indicator.Code,Year,CO2.Emission
206,Finland,FIN,CO2 emissions (kt),EN.ATM.CO2E.KT,2006,66200.351
207,France,FRA,CO2 emissions (kt),EN.ATM.CO2E.KT,2006,375764.824
208,United Kingdom,GBR,CO2 emissions (kt),EN.ATM.CO2E.KT,2006,541458.219
209,Greece,GRC,CO2 emissions (kt),EN.ATM.CO2E.KT,2006,97285.51
210,Croatia,HRV,CO2 emissions (kt),EN.ATM.CO2E.KT,2006,22607.055
211,Hungary,HUN,CO2 emissions (kt),EN.ATM.CO2E.KT,2006,57388.55
212,Ireland,IRL,CO2 emissions (kt),EN.ATM.CO2E.KT,2006,43160.59
213,Italy,ITA,CO2 emissions (kt),EN.ATM.CO2E.KT,2006,469346.664
214,Lithuania,LTU,CO2 emissions (kt),EN.ATM.CO2E.KT,2006,14158.287
215,Luxembourg,LUX,CO2 emissions (kt),EN.ATM.CO2E.KT,2006,11349.365
216,Latvia,LVA,CO2 emissions (kt),EN.ATM.CO2E.KT,2006,8012.395
217,Malta,MLT,CO2 emissions (kt),EN.ATM.CO2E.KT,2006,2574.234
218,Netherlands,NLD,CO2 emissions (kt),EN.ATM.CO2E.KT,2006,179638.996
219,Poland,POL,CO2 emissions (kt),EN.ATM.CO2E.KT,2006,318940.992
220,Portugal,PRT,CO2 emissions (kt),EN.ATM.CO2E.KT,2006,59816.104
221,Romania,ROU,CO2 emissions (kt),EN.ATM.CO2E.KT,2006,103350.728
222,Slovak Republic,SVK,CO2 emissions (kt),EN.ATM.CO2E.KT,2006,39104.888
223,Slovenia,SVN,CO2 emissions (kt),EN.ATM.CO2E.KT,2006,16244.81
224,Sweden,SWE,CO2 emissions (kt),EN.ATM.CO2E.KT,2006,49570.506
225,Austria,AUT,CO2 emissions (kt),EN.ATM.CO2E.KT,2007,69735.339
226,Belgium,BEL,CO2 emissions (kt),EN.ATM.CO2E.KT,2007,103545.079
227,Bulgaria,BGR,CO2 emissions (kt),EN.ATM.CO2E.KT,2007,52254.75
228,Cyprus,CYP,CO2 emissions (kt),EN.ATM.CO2E.KT,2007,8195.745
229,Czech Republic,CZE,CO2 emissions (kt),EN.ATM.CO2E.KT,2007,123302.875
230,Germany,DEU,CO2 emissions (kt),EN.ATM.CO2E.KT,2007,780546.619
231,Denmark,DNK,CO2 emissions (kt),EN.ATM.CO2E.KT,2007,50256.235
232,Spain,ESP,CO2 emissions (kt),EN.ATM.CO2E.KT,2007,358236.564
233,Estonia,EST,CO2 emissions (kt),EN.ATM.CO2E.KT,2007,18709.034
234,Finland,FIN,CO2 emissions (kt),EN.ATM.CO2E.KT,2007,63985.483
235,France,FRA,CO2 emissions (kt),EN.ATM.CO2E.KT,2007,369142.222
236,United Kingdom,GBR,CO2 emissions (kt),EN.ATM.CO2E.KT,2007,528425.701
237,Greece,GRC,CO2 emissions (kt),EN.ATM.CO2E.KT,2007,98246.264
238,Croatia,HRV,CO2 emissions (kt),EN.ATM.CO2E.KT,2007,23828.166
239,Hungary,HUN,CO2 emissions (kt),EN.ATM.CO2E.KT,2007,56035.427
240,Ireland,IRL,CO2 emissions (kt),EN.ATM.CO2E.KT,2007,44638.391
241,Italy,ITA,CO2 emissions (kt),EN.ATM.CO2E.KT,2007,462676.391
242,Lithuania,LTU,CO2 emissions (kt),EN.ATM.CO2E.KT,2007,15166.712
243,Luxembourg,LUX,CO2 emissions (kt),EN.ATM.CO2E.KT,2007,11019.335
244,Latvia,LVA,CO2 emissions (kt),EN.ATM.CO2E.KT,2007,8316.756
245,Malta,MLT,CO2 emissions (kt),EN.ATM.CO2E.KT,2007,2724.581
246,Netherlands,NLD,CO2 emissions (kt),EN.ATM.CO2E.KT,2007,176690.728
247,Poland,POL,CO2 emissions (kt),EN.ATM.CO2E.KT,2007,314272.901
248,Portugal,PRT,CO2 emissions (kt),EN.ATM.CO2E.KT,2007,60149.801
249,Romania,ROU,CO2 emissions (kt),EN.ATM.CO2E.KT,2007,102224.959
250,Slovak Republic,SVK,CO2 emissions (kt),EN.ATM.CO2E.KT,2007,36780.01
251,Slovenia,SVN,CO2 emissions (kt),EN.ATM.CO2E.KT,2007,16244.81
252,Sweden,SWE,CO2 emissions (kt),EN.ATM.CO2E.KT,2007,48059.702
253,Austria,AUT,CO2 emissions (kt),EN.ATM.CO2E.KT,2008,69027.608
254,Belgium,BEL,CO2 emissions (kt),EN.ATM.CO2E.KT,2008,104443.494
255,Bulgaria,BGR,CO2 emissions (kt),EN.ATM.CO2E.KT,2008,50740.279
256,Cyprus,CYP,CO2 emissions (kt),EN.ATM.CO2E.KT,2008,8577.113
257,Czech Republic,CZE,CO2 emissions (kt),EN.ATM.CO2E.KT,2008,116658.271
258,Germany,DEU,CO2 emissions (kt),EN.ATM.CO2E.KT,2008,780564.954
259,Denmark,DNK,CO2 emissions (kt),EN.ATM.CO2E.KT,2008,46933.933
260,Spain,ESP,CO2 emissions (kt),EN.ATM.CO2E.KT,2008,329285.599
261,Estonia,EST,CO2 emissions (kt),EN.ATM.CO2E.KT,2008,17491.59
262,Finland,FIN,CO2 emissions (kt),EN.ATM.CO2E.KT,2008,56519.471
263,France,FRA,CO2 emissions (kt),EN.ATM.CO2E.KT,2008,366325.966
264,United Kingdom,GBR,CO2 emissions (kt),EN.ATM.CO2E.KT,2008,520688.331
265,Greece,GRC,CO2 emissions (kt),EN.ATM.CO2E.KT,2008,95965.39
266,Croatia,HRV,CO2 emissions (kt),EN.ATM.CO2E.KT,2008,22592.387
267,Hungary,HUN,CO2 emissions (kt),EN.ATM.CO2E.KT,2008,54843.652
268,Ireland,IRL,CO2 emissions (kt),EN.ATM.CO2E.KT,2008,42999.242
269,Italy,ITA,CO2 emissions (kt),EN.ATM.CO2E.KT,2008,447186.983
270,Lithuania,LTU,CO2 emissions (kt),EN.ATM.CO2E.KT,2008,15009.031
271,Luxembourg,LUX,CO2 emissions (kt),EN.ATM.CO2E.KT,2008,10938.661
272,Latvia,LVA,CO2 emissions (kt),EN.ATM.CO2E.KT,2008,7902.385
273,Malta,MLT,CO2 emissions (kt),EN.ATM.CO2E.KT,2008,2559.566
274,Netherlands,NLD,CO2 emissions (kt),EN.ATM.CO2E.KT,2008,177020.758
275,Poland,POL,CO2 emissions (kt),EN.ATM.CO2E.KT,2008,314848.62
276,Portugal,PRT,CO2 emissions (kt),EN.ATM.CO2E.KT,2008,55624.723
