,Country.Name,Country.Code,Indicator.Name,Indicator.Code,Year,CO2.Emission.PC
215,Luxembourg,LUX,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,2006,24.01285765
216,Latvia,LVA,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,2006,3.611860039
217,Malta,MLT,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,2006,6.351303206
218,Netherlands,NLD,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,2006,10.98971528
219,Poland,POL,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,2006,8.362097463
220,Portugal,PRT,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,2006,5.684705076
221,Romania,ROU,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,2006,4.876469678
222,Slovak Republic,SVK,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,2006,7.277962961
223,Slovenia,SVN,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,2006,8.094608116
224,Sweden,SWE,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,2006,5.459003216
225,Austria,AUT,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,2007,8.406418936
226,Belgium,BEL,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,2007,9.744777191
227,Bulgaria,BGR,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,2007,6.925435282
228,Cyprus,CYP,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,2007,7.704853381
229,Czech Republic,CZE,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,2007,11.97251522
230,Germany,DEU,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,2007,9.488039888
231,Denmark,DNK,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,2007,9.20201511
232,Spain,ESP,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,2007,7.920890716
233,Estonia,EST,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,2007,13.95488409
234,Finland,FIN,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,2007,12.09848186
235,France,FRA,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,2007,5.76638517
236,United Kingdom,GBR,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,2007,8.617163681
237,Greece,GRC,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,2007,8.892293442
238,Croatia,HRV,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,2007,5.371543282
239,Hungary,HUN,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,2007,5.572459521
240,Ireland,IRL,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,2007,10.14752888
241,Italy,ITA,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,2007,7.917347216
242,Lithuania,LTU,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,2007,4.693696086
243,Luxembourg,LUX,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,2007,22.95728271
244,Latvia,LVA,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,2007,3.779785259
245,Malta,MLT,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,2007,6.698844917
246,Netherlands,NLD,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,2007,10.78586295
247,Poland,POL,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,2007,8.244183742
248,Portugal,PRT,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,2007,5.705207852
249,Romania,ROU,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,2007,4.895132266
250,Slovak Republic,SVK,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,2007,6.843273815
251,Slovenia,SVN,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,2007,8.049468764
252,Sweden,SWE,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,2007,5.253521937
253,Austria,AUT,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,2008,8.295095978
254,Belgium,BEL,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,2008,9.751984809
255,Bulgaria,BGR,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,2008,6.772087541
256,Cyprus,CYP,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,2008,7.930294398
257,Czech Republic,CZE,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,2008,11.23377283
258,Germany,DEU,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,2008,9.506321178
259,Denmark,DNK,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,2008,8.543351098
260,Spain,ESP,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,2008,7.165531607
261,Estonia,EST,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,2008,13.08183443
262,Finland,FIN,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,2008,10.63715919
263,France,FRA,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,2008,5.690501415
264,United Kingdom,GBR,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,2008,8.424423983
265,Greece,GRC,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,2008,8.662824281
266,Croatia,HRV,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,2008,5.094677245
267,Hungary,HUN,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,2008,5.463501182
268,Ireland,IRL,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,2008,9.577641293
269,Italy,ITA,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,2008,7.60176497
270,Lithuania,LTU,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,2008,4.69291649
271,Luxembourg,LUX,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,2008,22.38547222
