,Country.Name,Country.Code,Indicator.Name,Indicator.Code,Year,Population
381,Italy,ITA,"Population, total",SP.POP.TOTL,2012,59539717
382,Lithuania,LTU,"Population, total",SP.POP.TOTL,2012,2987773
383,Luxembourg,LUX,"Population, total",SP.POP.TOTL,2012,530946
384,Latvia,LVA,"Population, total",SP.POP.TOTL,2012,2034319
385,Malta,MLT,"Population, total",SP.POP.TOTL,2012,420028
386,Netherlands,NLD,"Population, total",SP.POP.TOTL,2012,16754962
387,Poland,POL,"Population, total",SP.POP.TOTL,2012,38063164
388,Portugal,PRT,"Population, total",SP.POP.TOTL,2012,10514844
389,Romania,ROU,"Population, total",SP.POP.TOTL,2012,20058035
390,Slovak Republic,SVK,"Population, total",SP.POP.TOTL,2012,5407579
391,Slovenia,SVN,"Population, total",SP.POP.TOTL,2012,2057159
392,Sweden,SWE,"Population, total",SP.POP.TOTL,2012,9519374
393,Austria,AUT,"Population, total",SP.POP.TOTL,2013,8479823
394,Belgium,BEL,"Population, total",SP.POP.TOTL,2013,11182817
395,Bulgaria,BGR,"Population, total",SP.POP.TOTL,2013,7265115
396,Cyprus,CYP,"Population, total",SP.POP.TOTL,2013,1143896
397,Czech Republic,CZE,"Population, total",SP.POP.TOTL,2013,10514272
398,Germany,DEU,"Population, total",SP.POP.TOTL,2013,80645605
399,Denmark,DNK,"Population, total",SP.POP.TOTL,2013,5614932
400,Spain,ESP,"Population, total",SP.POP.TOTL,2013,46620045
401,Estonia,EST,"Population, total",SP.POP.TOTL,2013,1317997
402,Finland,FIN,"Population, total",SP.POP.TOTL,2013,5438972
403,France,FRA,"Population, total",SP.POP.TOTL,2013,65998660
404,United Kingdom,GBR,"Population, total",SP.POP.TOTL,2013,64128226
405,Greece,GRC,"Population, total",SP.POP.TOTL,2013,10965211
406,Croatia,HRV,"Population, total",SP.POP.TOTL,2013,4255689
407,Hungary,HUN,"Population, total",SP.POP.TOTL,2013,9893082
408,Ireland,IRL,"Population, total",SP.POP.TOTL,2013,4623816
409,Italy,ITA,"Population, total",SP.POP.TOTL,2013,60233948
410,Lithuania,LTU,"Population, total",SP.POP.TOTL,2013,2957689
411,Luxembourg,LUX,"Population, total",SP.POP.TOTL,2013,543360
